Action id,"
Municipality/Region name ",Province,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)"
ID-Surrey-017,Surrey,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Not indicated
ID-Surrey-018,Surrey,British Columbia,Mandates,Mandate Reporting,Require building rating system,No,No,Not indicated
ID-Tay Valley Township-001,Tay Valley Township,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,Yes,Underway
ID-Tay Valley Township-002,Tay Valley Township,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,Yes,Underway
ID-Tay Valley Township-003,Tay Valley Township,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Underway
ID-Tay Valley Township-004,Tay Valley Township,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,Yes,Ongoing
ID-Tay Valley Township-005,Tay Valley Township,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Ongoing
ID-Tay Valley Township-006,Tay Valley Township,Ontario,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,Yes,Yes,Ongoing
ID-Thunder Bay-001,Thunder Bay,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Thunder Bay-002,Thunder Bay,Ontario,,,,No,No,Underway
ID-Thunder Bay-003,Thunder Bay,Ontario,,,,No,No,Underway
ID-Thunder Bay-004,Thunder Bay,Ontario,Voluntary action,,,No,No,Underway
ID-Thunder Bay-005,Thunder Bay,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Thunder Bay-006,Thunder Bay,Ontario,Price signals,Support/Provide Rewards for Performance,,No,Yes,Underway
ID-Thunder Bay-007,Thunder Bay,Ontario,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,Yes,Underway
ID-Thunder Bay-008,Thunder Bay,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Underway
ID-Thunder Bay-009,Thunder Bay,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Underway
ID-Thunder Bay-010,Thunder Bay,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Underway
ID-Thunder Bay-011,Thunder Bay,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Thunder Bay-012,Thunder Bay,Ontario,Public investment,,,No,No,Underway
ID-Thunder Bay-013,Thunder Bay,Ontario,Public investment,,,No,No,Underway
ID-Thunder Bay-014,Thunder Bay,Ontario,,,,No,No,Underway
ID-Thunder Bay-015,Thunder Bay,Ontario,Public investment,,,No,No,Underway
ID-Thunder Bay-016,Thunder Bay,Ontario,Public investment,,,No,No,Underway
ID-Timmins-001,Timmins,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Timmins-002,Timmins,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned
ID-Timmins-003,Timmins,Ontario,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Planned
ID-Timmins-004,Timmins,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Timmins-005,Timmins,Ontario,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned
ID-Timmins-006,Timmins,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Planned
ID-Timmins-007,Timmins,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Planned
ID-Timmins-008,Timmins,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Timmins-009,Timmins,Ontario,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned
ID-Timmins-010,Timmins,Ontario,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Ongoing
ID-Toronto-001,Toronto,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Toronto-002,Toronto,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Toronto-003,Toronto,Ontario,Public investment,,,No,No,Underway
ID-Toronto-004,Toronto,Ontario,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway
ID-Toronto-005,Toronto,Ontario,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Underway
ID-Toronto-006,Toronto,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Toronto-007,Toronto,Ontario,,,,No,No,Underway
ID-Toronto-008,Toronto,Ontario,Mandates,Mandate Reporting,Require energy audits and disclosure,No,No,Underway
ID-Toronto-009,Toronto,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Toronto-010,Toronto,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Toronto-011,Toronto,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-Toronto-012,Toronto,Ontario,Price signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,No,No,Underway
ID-Toronto-013,Toronto,Ontario,,,,No,No,Underway
ID-Town of Paradise-001,Town of Paradise,Newfoundland and Labrador,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Complete
ID-Town of Paradise-002,Town of Paradise,Newfoundland and Labrador,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Complete
ID-Town of Paradise-003,Town of Paradise,Newfoundland and Labrador,,,,Yes,No,Planned
ID-Town of Paradise-004,Town of Paradise,Newfoundland and Labrador,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,Yes,No,Planned
ID-Town of Paradise-005,Town of Paradise,Newfoundland and Labrador,,,,Yes,No,Planned
ID-Township of Langley-001,Township of Langley,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,Yes,No,Ongoing
ID-Township of Langley-002,Township of Langley,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Ongoing
ID-Township of Langley-003,Township of Langley,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Township of Langley-004,Township of Langley,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Township of Langley-005,Township of Langley,British Columbia,,,,No,No,Planned
ID-Township of Langley-006,Township of Langley,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Township of Langley-007,Township of Langley,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-Township of Langley-008,Township of Langley,British Columbia,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Planned
ID-Township of Langley-009,Township of Langley,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned
ID-Township of Langley-010,Township of Langley,British Columbia,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned
ID-Township of Langley-011,Township of Langley,British Columbia,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned
ID-Township of Langley-012,Township of Langley,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",Yes,No,Planned
ID-Township of Langley-013,Township of Langley,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned
ID-Township of Langley-014,Township of Langley,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned
ID-Township of Langley-015,Township of Langley,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,No,No,Planned
ID-Township of Langley-016,Township of Langley,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,No,No,Planned
ID-Township of Langley-017,Township of Langley,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned
ID-Township of Langley-018,Township of Langley,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned
ID-Township of Langley-019,Township of Langley,British Columbia,Public investment,Invest in Technology Development and Deployment ,City piloting of new building technologies,No,No,Planned
ID-Township of Langley-020,Township of Langley,British Columbia,Public investment,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Planned
ID-Township of Selwyn-001,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Township of Selwyn-002,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Township of Selwyn-003,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing
ID-Township of Selwyn-004,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing
ID-Township of Selwyn-005,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Township of Selwyn-006,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Township of Selwyn-007,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Township of Selwyn-008,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing
ID-Township of Selwyn-009,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Township of Selwyn-010,Township of Selwyn,Ontario,,,,Yes,No,Planned
ID-Township of Selwyn-011,Township of Selwyn,Ontario,,,,Yes,No,Planned
ID-Township of Selwyn-012,Township of Selwyn,Ontario,,,,Yes,No,Planned
ID-Township of Selwyn-013,Township of Selwyn,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,Yes,No,Planned
ID-Township of Selwyn-014,Township of Selwyn,Ontario,Price signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,Yes,No,Planned
ID-Township of Selwyn-015,Township of Selwyn,Ontario,,,,Yes,No,Planned
ID-Township of Selwyn-016,Township of Selwyn,Ontario,,,,Yes,No,Planned
ID-Township of Selwyn-017,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Township of Selwyn-018,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Township of Selwyn-019,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Township of Selwyn-020,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Underway
ID-Township of Selwyn-021,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing
ID-Township of Selwyn-022,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Planned
ID-Township of Selwyn-023,Township of Selwyn,Ontario,Public investment,Invest in Technology Development and Deployment ,City piloting of new building technologies,Yes,No,Planned
ID-Township of Selwyn-024,Township of Selwyn,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Planned
ID-Township of Uxbridge-001,Township of Uxbridge,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,Yes,Planned
ID-Township of Uxbridge-002,Township of Uxbridge,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,No,Yes,Planned
ID-Township of Uxbridge-003,Township of Uxbridge,Ontario,Public investment,Invest in Technology Development and Deployment ,City piloting of new building technologies,No,Yes,Planned
ID-Township of Uxbridge-004,Township of Uxbridge,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,Yes,Planned
ID-Vancouver-001,Vancouver,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Complete
ID-Vancouver-002,Vancouver,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,,No,No,Complete
ID-Vancouver-003,Vancouver,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,,No,No,Complete
ID-Vancouver-004,Vancouver,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Complete
ID-Vancouver-005,Vancouver,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Complete
ID-Vancouver-006,Vancouver,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,,No,No,Complete
ID-Vancouver-007,Vancouver,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,,No,No,Complete
ID-Vancouver-008,Vancouver,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,,No,No,Complete
ID-Vancouver-009,Vancouver,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,,No,No,Complete
ID-Vancouver-010,Vancouver,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote “cool roofs” — coating of rooftops white to reduce building energy use — and other low-cost approaches,No,No,Complete
ID-Vancouver-011,Vancouver,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Complete
ID-Vancouver-012,Vancouver,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,,No,No,Ongoing
ID-Vernon-001,Vernon,British Columbia,,,,No,No,Underway
ID-Vernon-002,Vernon,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Ongoing
ID-Vernon-003,Vernon,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),No,No,Ongoing
ID-Vernon-004,Vernon,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Ongoing
ID-Vernon-005,Vernon,British Columbia,Price signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,No,No,Ongoing
ID-Victoria-001,Victoria,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Victoria-002,Victoria,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Victoria-003,Victoria,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,City piloting of new building technologies,No,No,Underway
ID-Victoria-004,Victoria,British Columbia,,,,No,No,Underway
ID-Victoria-005,Victoria,British Columbia,,,,No,No,Underway
ID-Victoria-006,Victoria,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Underway
ID-Victoria-007,Victoria,British Columbia,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Underway
ID-Victoria-008,Victoria,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Victoria-009,Victoria,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,,No,No,Underway
ID-Victoria-010,Victoria,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,,No,No,Underway
ID-Victoria-011,Victoria,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,,No,No,Planned
ID-Victoria-012,Victoria,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Underway
ID-Victoria-013,Victoria,British Columbia,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Underway
ID-Victoria-014,Victoria,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Underway
ID-Victoria-015,Victoria,British Columbia,,,,No,No,Underway
ID-Victoria-016,Victoria,British Columbia,Public investment,Expand capacity of efficient heating and cooling\Invest in Technology Development and Deployment,Develop and expand low- to no-carbon district heating and cooling systems ,No,No,Underway
ID-Victoria-017,Victoria,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway
ID-Victoria-018,Victoria,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway
ID-Victoriaville-001,Victoriaville,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,Yes,Underway
ID-Victoriaville-002,Victoriaville,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-Victoriaville-003,Victoriaville,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-Victoriaville-004,Victoriaville,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,Yes,Underway
ID-Victoriaville-005,Victoriaville,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,Yes,Underway
ID-Victoriaville-006,Victoriaville,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,Yes,Underway
ID-Victoriaville-007,Victoriaville,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,Yes,Underway
ID-Victoriaville-008,Victoriaville,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,Yes,Underway
ID-Victoriaville-009,Victoriaville,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-Victoriaville-010,Victoriaville,Québec,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-Victoriaville-011,Victoriaville,Québec,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Underway
ID-Victoriaville-012,Victoriaville,Québec,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Victoriaville-013,Victoriaville,Québec,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Victoriaville-014,Victoriaville,Québec,,,,No,No,Underway
ID-Victoriaville-015,Victoriaville,Québec,,,,No,No,Underway
ID-Victoriaville-016,Victoriaville,Québec,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-Victoriaville-017,Victoriaville,Québec,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Ville de Beloeil-001,Ville de Beloeil,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-Ville de Beloeil-002,Ville de Beloeil,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway
ID-Ville de Beloeil-003,Ville de Beloeil,Québec,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Ville de Beloeil-004,Ville de Beloeil,Québec,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-Ville de Chambly-001,Ville de Chambly,Québec,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Ville de Chambly-002,Ville de Chambly,Québec,Price signals,,,No,No,Complete
ID-Ville de Chambly-003,Ville de Chambly,Québec,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Underway
ID-Ville de Chambly-004,Ville de Chambly,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing
ID-Ville de Chambly-005,Ville de Chambly,Québec,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Ongoing
ID-Ville de Chambly-006,Ville de Chambly,Québec,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Ongoing
ID-Ville de Chambly-007,Ville de Chambly,Québec,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Ongoing
ID-Ville de Chambly-008,Ville de Chambly,Québec,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Ongoing
ID-Ville de Gatineau-001,Ville de Gatineau,Québec,,,,No,No,Not indicated
